SITE_ID,SOP,EOP,Duration,,
US-Ton,2001-10-30,2001-11-06,7,,
US-Ton,2001-11-11,2001-11-26,15,,
US-Ton,2001-11-29,2001-12-09,10,,
US-Ton,2001-12-20,2001-12-25,5,,
US-Ton,2002-11-07,2002-11-20,13,,
US-Ton,2002-12-10,2002-12-15,5,,
US-Ton,2002-12-16,2002-12-23,7,,
US-Ton,2003-07-28,2003-08-22,25,,
US-Ton,2003-10-23,2003-10-30,7,,
US-Ton,2003-10-30,2003-11-07,8,,
US-Ton,2003-11-07,2003-11-18,11,,
US-Ton,2003-11-30,2003-12-05,5,,
US-Ton,2004-05-28,2004-06-02,5,,
US-Ton,2004-09-20,2004-10-02,12,,
US-Ton,2004-10-17,2004-11-01,15,,
US-Ton,2004-11-08,2004-11-25,17,,
US-Ton,2005-09-26,2005-10-04,8,,
US-Ton,2005-10-25,2005-11-01,7,,
US-Ton,2005-11-02,2005-11-14,12,,
US-Ton,2005-11-25,2005-12-12,17,,
US-Ton,2006-10-05,2006-10-15,10,,
US-Ton,2006-11-03,2006-11-11,8,,
US-Ton,2006-11-12,2006-11-19,7,,
US-Ton,2006-11-27,2006-12-04,7,,
US-Ton,2006-12-10,2006-12-18,8,,
US-Ton,2007-09-22,2007-10-01,9,,
US-Ton,2007-10-10,2007-10-15,5,,
US-Ton,2007-10-17,2007-10-27,10,,
US-Ton,2007-11-12,2007-11-25,13,,
US-Ton,2007-12-08,2007-12-12,4,,
US-Ton,2008-01-04,2008-01-14,10,,
US-Ton,2008-01-21,2008-01-30,9,,
US-Ton,2008-02-02,2008-02-11,9,,
US-Ton,2008-10-04,2008-10-15,11,,
US-Ton,2008-10-31,2008-11-10,10,,
US-Ton,2008-11-26,2008-12-06,10,,
US-Ton,2008-12-13,2008-12-21,8,,
US-Ton,2009-01-05,2009-01-12,7,,
US-Ton,2009-03-02,2009-03-15,13,,
US-Ton,2009-05-01,2009-05-07,6,,
US-Ton,2009-10-14,2009-10-20,6,,
US-Ton,2009-11-20,2009-11-26,6,,
US-Ton,2009-11-27,2009-12-05,8,,
US-Ton,2009-12-07,2009-12-12,5,,
US-Ton,2009-12-13,2009-12-20,7,,
US-Ton,2009-12-21,2009-12-27,6,,
US-Ton,2009-12-29,2010-01-02,4,,
US-Ton,2010-01-12,2010-01-17,5,,
US-Ton,2010-01-18,2010-01-24,6,,
US-Ton,2010-04-11,2010-04-15,4,,
US-Ton,2010-04-21,2010-04-26,5,,
US-Ton,2010-10-24,2010-10-29,5,,
US-Ton,2010-10-31,2010-11-03,3,,
US-Ton,2011-03-18,2011-03-24,6,,
US-Ton,2011-06-05,2011-06-13,8,,
US-Ton,2011-10-05,2011-10-10,5,,
US-Ton,2012-01-21,2012-01-28,7,,
US-Ton,2012-02-07,2012-02-13,6,,
US-Ton,2012-03-13,2012-03-21,8,,
US-Ton,2012-10-22,2012-10-31,9,,
US-Ton,2012-12-02,2012-12-07,5,,
US-Ton,2012-12-22,2012-12-31,9,,
US-Ton,2013-09-22,2013-09-30,8,,
US-Ton,2013-11-18,2013-11-30,12,,
US-Ton,2013-12-02,2013-12-07,5,,
US-Ton,2014-01-11,2014-01-15,4,,
US-Ton,2014-01-29,2014-02-02,4,,
US-Ton,2014-02-06,2014-02-12,6,,
US-Ton,2014-02-15,2014-02-18,3,,
US-Ton,2014-02-26,2014-03-05,7,,
