"","SITE_ID","ini_condition","decay_factor","ini_condition_p","decay_factor_p","event_per_yr","dryness_index","change_EF","C_contribution","X","NEE","GPP","TA","SW","NEP_90","AI","Soil pH","Soil N","SOC","Clay","Sand","Silt","Clay_%","Soil C:N"
"1","AU-ASM",2.25649520261306,0.102188581369238,0.000450657788025506,0.0252827712063709,6.2,0.155307788853509,0.175792705913289,2.39312063283358,1,-0.292288959513828,1.07029177004868,23.392415359095,355.376771000462,2.0537,0.152479435957697,6.9,3.82,10.9,178,766,56,17.8,2.85340314136126
"2","AU-Cpr",3.91863535163517,0.285740051029419,0.0196236509918058,0.0517368180602276,4.85714285714286,0.284013741812312,0.0893399974190898,-2.05411002952297,2,-0.832215378068728,1.96381945862787,19.8457412607727,312.555679287305,4.109741,0.150269093547802,8,11.13,17.1,164,755,81,16.4,1.53638814016172
"3","AU-DaP",12.8669345216894,0.250731409509952,1.5937853925589e-06,1.19790813729347e-05,6,0.231731709411037,0.0757913266085718,10.5816919295563,3,-2.21121727799361,5.07265628533982,28.4443982868377,427.467445234975,13.66268,0.626646833829154,5.9,7.23,9.7,129,819,52,12.9,1.34163208852006
"4","AU-DaS",5.93356748936721,0.734572379190333,0.438031051912384,0.413798138070789,2.66666666666667,0.388749586646391,0.0816002451329684,-4.18456246365148,4,-3.64293797501011,7.28571013098576,28.3619021845452,456.791566134116,10.94078,0.607742413811365,6.5,5.84,7.5,78,889,33,7.8,1.28424657534247
"5","AU-Dry",8.15022892144548,0.251918922556015,0.00155661531886962,0.00712342296982049,4.25,0.318072044664865,0.124425751503198,2.76225311462074,5,-2.52668796728572,5.03013034116109,29.1735763598326,434.845292887029,8.903666,0.436599787739425,6.7,5.07,8.9,252,655,93,25.2,1.75542406311637
"6","AU-Gin",3.16085328480584,0.561462996345306,0.244430743058879,0.263391992995321,0.846153846153846,0.322935287524541,0.133166550243363,-7.21331243679948,6,-2.32811209790842,4.99625873154449,23.2472709376471,400.332263448453,7.58078,0.411898628003115,6.2,22.14,49.2,103,814,83,10.3,2.22222222222222
"7","AU-Rig",8.99148378110027,0.201163145646104,3.24305496515664e-05,0.000387821814481928,3.81818181818182,0.293887678399405,0.179927313448919,8.22592140400048,7,-1.48446971082351,3.94925884199695,18.8720058191108,335.142106943902,8.963926,0.441950996107167,6.1,21.98,39.8,154,621,226,15.3846153846154,1.81073703366697
"8","AU-Stp",5.3421606531176,0.175320612554427,1.331760595744e-07,3.80841745425062e-06,3.875,0.209966411565083,0.204021346888018,5.2815728330351,8,-0.670055377760712,1.62206048508894,27.6902103008289,399.150265437273,4.813368,0.302664584220739,6.8,5.58,7.2,302,553,145,30.2,1.29032258064516
"9","ES-Abr",8.62426750187207,0.214449395798144,3.21355572345763e-07,4.6761876846629e-06,2.46666666666667,0.248370210298327,0.179784408267492,6.55406826407537,9,-1.05386015228039,3.65405326734587,18.9542499321239,279.409958607923,7.370404,0.418751861781352,6.5,23.61,32.6,204,467,330,20.3796203796204,1.38077085980517
"10","ES-Agu",6.07451085227235,0.164749716115089,0.000494975796594138,0.0054863552095083,3.21428571428571,0.21617538192198,0.107107156523076,3.35942440442431,10,-0.321086639225955,1.23826820808791,19.6500653332481,307.663923381686,3.214366,0.19131572869351,7.8,16.6,16.4,281,393,326,28.1,0.987951807228916
"11","ES-LM1",11.7677390155446,0.179106102486668,1.82284547269841e-06,3.8627581041805e-05,1.61904761904762,0.285198117318236,0.189351701184787,12.5269598181857,11,-1.46251152022749,5.00997025812326,18.8630741800948,301.164240853081,8.899054,0.381902589998371,6.9,26.64,26.8,200,510,290,20,1.00600600600601
"12","ES-LM2",8.64757960802136,0.125478786606379,1.43173446233626e-05,0.000826245502673463,1.66666666666667,0.271570304929937,0.199094262329113,13.449235277718,12,-1.26509107532087,4.8573328129939,19.2655120808317,298.802003807292,8.479,0.381902589998371,7,26.62,27,154,531,315,15.4,1.01427498121713
"13","US-Cop",2.16729857063325,0.32351415718724,8.86578443931086e-05,0.000301686527485014,4.8,0.191066247434092,0.148293014950466,1.39907901988484,13,-0.174947448344562,0.380200238264584,19.3017743616132,348.037611500611,0.9443916,0.280003338340845,7.5,13.23,15.3,231,429,340,23.1,1.15646258503401
"14","US-FR2",5.24201844599499,0.398046439206395,0.121391449191139,0.171472050198416,1.42857142857143,0.386020343295476,0.213388046616379,-7.76422531758949,14,-2.667124998177,5.84285091266343,24.0216275194414,325.850686002222,10.70933,0.577551981697059,6.8,29.81,31.1,433,219,348,43.3,1.04327406910433
"15","US-Jo1",2.44178379905458,0.187976837729798,1.05696487589808e-06,2.28541109765469e-05,8,0.188973796352268,0.11549692321575,-2.19723075251432,15,-0.824016136331197,1.30326255586808,21.2090395763734,374.717586769986,2.54106,0.165425438339295,8.1,7.92,8.4,151,616,233,15.1,1.06060606060606
"16","US-Jo2",3.51309248449368,0.23234886300982,0.00533340468611044,0.0207956167457248,22,0.214012170197473,0.222276568023538,-1.2589726747243,16,-0.652992668088317,1.27115348741433,20.4331934871557,298.338068615458,2.87503,0.174178762414057,7.9,6.93,7.5,143,633,224,14.3,1.08225108225108
"17","US-LS2",4.32194401535223,0.269329708056137,8.06233541961584e-07,5.20821576199526e-06,6,0.218871985441062,0.178435423840215,0.768490729015595,17,-2.04435710875806,3.85955014677406,22.8470273985865,392.120577403427,8.500783,0.202139283455058,7.8,11.37,8,257,504,239,25.7,0.703605980650836
