No ,SITE_ID ,Latitude  ,Longitude ,IGBP ,P/PET ,Start year ,End year 
1 ,AU-ASM ,-22.283 ,133.249 ,SAV ,0.152 ,2010 ,2014 
2 ,AU-Cpr ,-34.0021 ,140.5891 ,SAV ,0.150 ,2010 ,2014 
3 ,AU-DaP ,-14.0633 ,131.3181 ,GRA ,0.627 ,2007 ,2013 
4 ,AU-DaS ,-14.1593 ,131.3881 ,SAV ,0.608 ,2008 ,2014 
5 ,AU-Dry ,-15.2588 ,132.3706 ,SAV ,0.437 ,2011 ,2014 
6 ,AU-Gin ,-31.3764 ,115.7138 ,WSA ,0.412 ,2011 ,2014 
7 ,AU-Rig ,-36.6499 ,145.5759 ,GRA ,0.442 ,2011 ,2014 
8 ,AU-Stp ,-17.1507 ,133.3502 ,GRA ,0.303 ,2008 ,2014 
9 ,US-Cop ,38.09 ,-109.39 ,GRA ,0.280 ,2001 ,2007 
10 ,US-SRC ,31.9083 ,-110.8395 ,OSH ,0.212 ,2008 ,2014 
11 ,US-SRG ,31.7894 ,-110.8277 ,GRA ,0.330 ,2008 ,2021 
12 ,US-SRM ,31.8214 ,-110.8661 ,WSA ,0.261 ,2004 ,2014 
13 ,US-Ton ,38.4309 ,-120.966 ,WSA ,0.447 ,2001 ,2021 
14 ,US-Var ,38.4133 ,-120.9508 ,GRA ,0.458 ,2000 ,2021 
15 ,US-Whs ,31.7438 ,-110.0522 ,OSH ,0.201 ,2007 ,2020 
16 ,US-Wkg ,31.7365 ,-109.9419 ,GRA ,0.230 ,2004 ,2021 
17 ,US-FR2 ,29.9495 ,-97.9962 ,WSA ,0.578 ,2005 ,2008 
18 ,US-Jo1 ,32.582 ,-106.635 ,OSH ,0.165 ,2010 ,2020 
19 ,US-Jo2 ,32.5849 ,-106.6032 ,OSH ,0.174 ,2010 ,2020 
20 ,US-LS2 ,31.5659 ,-110.1344 ,SAV ,0.202 ,2002 ,2007 
21 ,US-Mpj ,34.4385 ,-106.2377 ,WSA ,0.291 ,2008 ,2020 
22 ,US-Rls ,43.1439 ,-116.7356 ,CSH ,0.339 ,2014 ,2021 
23 ,US-Rms ,43.0645 ,-116.7486 ,CSH ,0.455 ,2014 ,2020 
24 ,US-Rwf ,43.1207 ,-116.7231 ,CSH ,0.440 ,2014 ,2020 
25 ,US-Rws ,43.1675 ,-116.7132 ,OSH ,0.265 ,2014 ,2020 
26 ,US-Seg ,34.3623 ,-106.702 ,GRA ,0.161 ,2007 ,2021 
27 ,US-Ses ,34.3349 ,-106.7442 ,OSH ,0.156 ,2007 ,2021 
28 ,US-SRS ,31.8173 ,-110.8508 ,WSA ,0.261 ,2011 ,2018 
29 ,US-Wjs ,34.4255 ,-105.8615 ,SAV ,0.234 ,2007 ,2021 
30 ,US-xNG ,46.7697 ,-100.9154 ,GRA ,0.480 ,2017 ,2021 
31 ,ES-Abr ,38.70183 ,-6.785881 ,SAV ,0.419 ,2015 ,2020 
32 ,ES-LM1 ,39.94269 ,-5.778683 ,SAV ,0.382 ,2014 ,2020 
33 ,ES-LM2 ,39.93459 ,-5.775881 ,SAV ,0.382 ,2014 ,2020 
34 ,ES-Agu ,36.94004 ,-2.033208 ,OSH ,0.191 ,2006 ,2020 
