"SITE_ID","SITE_NAME","DATA_SOURCE","DATA_USE","LOCATION_LAT","LOCATION_LONG","ELEV_M","IGBP","PET_sum","PPT_sum","TC_aridity"
"AR-SLu","San Luis","FLUXNET2015","CC-BY-4.0",-33.4648,-66.4598,NA,"MF",1538.4,418.1,0.271775871034841
"AR-Vir","Virasoro","FLUXNET2015","CC-BY-4.0",-28.2395,-56.1886,NA,"ENF",1310.9,1591.6,1.21412769852773
"AT-Neu","Neustift","FLUXNET2015","CC-BY-4.0",47.1167,11.3175,970,"GRA",580.6,1000.3,1.72287289011368
"AU-ASM","Alice Springs","FLUXNET2015","CC-BY-4.0",-22.283,133.249,NA,"SAV",2127.5,324.4,0.152479435957697
"AU-Ade","Adelaide River","FLUXNET2015","CC-BY-4.0",-13.0769,131.1178,NA,"WSA",1817.9,1409.4,0.775290169976346
"AU-Cpr","Calperum","FLUXNET2015","CC-BY-4.0",-34.0021,140.5891,NA,"SAV",1653.7,248.5,0.150269093547802
"AU-Cum","Cumberland Plain","FLUXNET2015","CC-BY-4.0",-33.6152,150.7236,NA,"EBF",1274.8,808.8,0.634452463131472
"AU-DaP","Daly River Savanna","FLUXNET2015","CC-BY-4.0",-14.0633,131.3181,NA,"GRA",1882.4,1179.6,0.626646833829154
"AU-DaS","Daly River Cleared","FLUXNET2015","CC-BY-4.0",-14.1593,131.3881,NA,"SAV",1888.3,1147.6,0.607742413811365
"AU-Dry","Dry River","FLUXNET2015","CC-BY-4.0",-15.2588,132.3706,NA,"SAV",1978.7,863.9,0.436599787739425
"AU-Emr","Emerald","FLUXNET2015","CC-BY-4.0",-23.8587,148.4746,NA,"GRA",1738.5,583.4,0.335576646534369
"AU-Fog","Fogg Dam","FLUXNET2015","CC-BY-4.0",-12.5452,131.3072,NA,"WET",1779.2,1458.4,0.819694244604317
"AU-GWW","Great Western Woodlands, Western Australia, Australia","FLUXNET2015","CC-BY-4.0",-30.1913,120.6541,NA,"SAV",1795.8,264.2,0.147121060251698
"AU-Gin","Gingin","FLUXNET2015","CC-BY-4.0",-31.3764,115.7138,NA,"WSA",1669.1,687.5,0.411898628003115
"AU-How","Howard Springs","FLUXNET2015","CC-BY-4.0",-12.4943,131.1523,NA,"WSA",1797.3,1642.9,0.914093362265621
"AU-Lox","Loxton","FLUXNET2015","CC-BY-4.0",-34.4704,140.6551,NA,"DBF",1584.7,258.6,0.163185460970531
"AU-RDF","Red Dirt Melon Farm, Northern Territory","FLUXNET2015","CC-BY-4.0",-14.5636,132.4776,NA,"WSA",1912,957,0.500523012552301
"AU-Rig","Riggs Creek","FLUXNET2015","CC-BY-4.0",-36.6499,145.5759,NA,"GRA",1310.1,579,0.441950996107167
"AU-Rob","Robson Creek, Queensland, Australia","FLUXNET2015","CC-BY-4.0",-17.1175,145.6301,NA,"EBF",1451.4,2471.3,1.70270084056773
"AU-Stp","Sturt Plains","FLUXNET2015","CC-BY-4.0",-17.1507,133.3502,NA,"GRA",2112.9,639.5,0.302664584220739
"AU-TTE","Ti Tree East","FLUXNET2015","CC-BY-4.0",-22.287,133.64,NA,"GRA",2150.8,221.5,0.102984935837828
"AU-Tum","Tumbarumba","FLUXNET2015","CC-BY-4.0",-35.6566,148.1517,1200,"EBF",1011.3,1359.1,1.34391377434985
"AU-Wac","Wallaby Creek","FLUXNET2015","CC-BY-4.0",-37.4259,145.1878,NA,"EBF",1060.3,1185.7,1.11826841459964
"AU-Whr","Whroo","FLUXNET2015","CC-BY-4.0",-36.6732,145.0294,NA,"EBF",1296.3,538.2,0.415181670909512
"AU-Wom","Wombat","FLUXNET2015","CC-BY-4.0",-37.4222,144.0944,705,"EBF",1062.9,997.7,0.938658387430614
"AU-Ync","Jaxa","FLUXNET2015","CC-BY-4.0",-34.9893,146.2907,NA,"GRA",1459.8,409,0.28017536648856
"BE-Bra","Brasschaat","FLUXNET2015","CC-BY-4.0",51.3076,4.5198,16,"MF",703,840.7,1.19587482219061
"BE-Lon","Lonzee","FLUXNET2015","CC-BY-4.0",50.5516,4.7462,167,"CRO",693.3,833.8,1.20265397374874
"BE-Vie","Vielsalm","FLUXNET2015","CC-BY-4.0",50.3049,5.9981,493,"MF",629.2,1144.3,1.81865861411316
"BR-Sa1","Santarem-Km67-Primary Forest","FLUXNET2015","CC-BY-4.0",-2.8567,-54.9589,88,"EBF",1184,1861.7,1.57238175675676
"BR-Sa3","Santarem-Km83-Logged Forest","FLUXNET2015","CC-BY-4.0",-3.018,-54.9714,100,"EBF",1177,1849.1,1.57102803738318
"CA-Gro","Ontario - Groundhog River, Boreal Mixedwood Forest","FLUXNET2015","CC-BY-4.0",48.2167,-82.1556,340,"MF",551.3,741.7,1.34536549972792
"CA-Man","Manitoba - Northern Old Black Spruce (former BOREAS Northern Study Area)","FLUXNET2015","CC-BY-4.0",55.8796,-98.4808,259,"ENF",491.4,520.6,1.05942205942206
"CA-NS1","UCI-1850 burn site","FLUXNET2015","CC-BY-4.0",55.8792,-98.4839,260,"ENF",491.4,520.6,1.05942205942206
"CA-NS2","UCI-1930 burn site","FLUXNET2015","CC-BY-4.0",55.9058,-98.5247,260,"ENF",491.8,522.3,1.06201708011387
"CA-NS3","UCI-1964 burn site","FLUXNET2015","CC-BY-4.0",55.9117,-98.3822,260,"ENF",489.4,525.2,1.07315079689416
"CA-NS4","UCI-1964 burn site wet","FLUXNET2015","CC-BY-4.0",55.9144,-98.3806,260,"ENF",489.4,525.2,1.07315079689416
"CA-NS5","UCI-1981 burn site","FLUXNET2015","CC-BY-4.0",55.8631,-98.485,260,"ENF",497,526.1,1.05855130784708
