"","SITE_ID","ini_condition","decay_factor","ini_condition_p","decay_factor_p"
"1","AU-ASM",0.751249570080061,0.152280259646282,0.00352319704920725,0.035925264508079
"2","AU-Cpr",2.6909125335619,1.85501310399099,0.949586083336159,0.903189776543414
"3","AU-DaP",3.40204829215348,0.167339959425374,7.69697562282857e-05,0.00137669669907345
"4","AU-DaS",3.40204829215348,0.167339959425374,7.69697562282857e-05,0.00137669669907345
"5","AU-Dry",1.13855282487891,0.349037450399465,0.351685347543342,0.432716546392322
"6","AU-Gin",-1.328713717891,-0.0171234024737709,0.101742709516606,0.868945347846214
"7","AU-Rig",3.59515727380781,0.32521771076852,0.0197647917927167,0.044323307620516
"8","AU-Stp",1.33904759041066,0.114601526997181,2.51560537702774e-05,0.0015780463623194
"9","ES-Abr",3.85075443543742,0.424197518526096,0.0016375072344913,0.00368763963412533
"10","ES-Agu",1.73793523999741,0.316471011739372,0.239431990360723,0.32291104005253
"11","ES-LM1",5.57290179534996,0.32415235508984,0.00093207797918881,0.00325250633395038
"12","ES-LM2",4.52531402421879,0.212292031826223,9.24105232159426e-05,0.000831256549744072
"13","US-Cop",1.28233292082343,0.614925494389589,0.00544101009459114,0.00578478396249622
"14","US-FR2",1.28233292082343,0.614925494389589,0.00544101009459114,0.00578478396249622
"15","US-Jo1",1.28233292082343,0.614925494389589,0.00544101009459114,0.00578478396249622
"16","US-Jo2",1.28233292082343,0.614925494389589,0.00544101009459114,0.00578478396249622
"17","US-LS2",2.00143589582277,1.00467779098784,0.140081946933779,0.0776106878491805
"18","US-Mpj",2.14437755274617,1.45303280250628,0.716131150431808,0.567347400728685
"19","US-Rls",1.55620324790988,0.237408307258771,0.00308685770365414,0.0138222933035897
"20","US-Rms",3.01061378508095,0.760646005792431,0.634318664713567,0.609606910172145
"21","US-Rwf",1.23107216157175,0.160834937246447,0.000150987526078666,0.00286019325203406
"22","US-Rws",1.72288278626708,0.687662429189115,0.230647811425317,0.217854880780889
"23","US-Seg",1.19780534513176,0.504379810368363,0.00300945296938899,0.00493296087759708
"24","US-Ses",1.07203898668214,0.394257402093461,0.0221581964608864,0.0414205893896818
"25","US-SRC",0.998957856069896,0.437919925734192,0.000263069793171738,0.000684370484870395
"26","US-SRG",1.70183076368556,0.808069477159083,0.583890669781724,0.54573613373935
"27","US-SRM",1.32540965569588,0.222107526726921,0.00220227382204155,0.010907375683739
"28","US-SRS",1.32540965569588,0.222107526726921,0.00220227382204155,0.010907375683739
"29","US-Ton",3.61132782483292,0.527126839615074,0.0709403456408234,0.0884788736773359
"30","US-Var",2.4286600969728,0.0815343448671005,4.84462529222985e-06,0.00108280324926072
"31","US-Whs",0.773041867726111,0.332267349674817,0.500222745975264,0.569474259853017
"32","US-Wjs",0.773041867726111,0.332267349674817,0.500222745975264,0.569474259853017
"33","US-Wkg",1.01160597070556,0.39504349326752,0.0998966083489079,0.145768534037163
"34","US-xNG",1.01160597070556,0.39504349326752,0.0998966083489079,0.145768534037163
