SITE_ID,RECO_contri_(%),NEP_contri_(%)
AU-ASM,16.68484333,17.49510192
AU-DaP,16.56904569,10.45207608
AU-Dry,8.359310353,1.1465282
AU-Rig,24.32801879,20.64714386
AU-Stp,23.28996745,12.62311735
ES-Abr,13.20880173,15.0988634
ES-Agu,13.73918209,14.16501931
ES-LM1,9.761136071,12.69719855
ES-LM2,9.214280705,13.39694553
US-Cop,21.68568613,13.21051974
US-Jo1,12.84033593,4.12955505
US-Jo2,23.51414123,3.228740671
US-Rls,11.72180768,10.83325101
US-Rms,6.490763868,0.676796738
US-Rwf,10.10097908,6.443176561
US-Rws,10.85261544,10.17550361
US-Seg,20.07562286,15.83745225
US-Ses,24.49749949,15.16007604
US-SRC,25.8643528,11.33287106
US-SRG,26.38006031,0.054483985
US-SRS,20.08054211,2.049550737
US-Ton,13.0729763,2.521167999
US-Var,34.30648642,15.88958432
US-Wjs,7.619546991,1.364509276
US-Wkg,24.4540035,11.53959978
US-xNG,10.59257322,7.280433358
