SITE_ID,Bias (%),Group,Partitioning method
AU-ASM,17.59697658,Pulse RECO,NT
AU-ASM,22.92605749,Pulse RECO,DT
AU-ASM,7.946091433,Pulse RECO,DML
AU-ASM,8.882401578,Pulse RECO,NN
AU-ASM,7.49711172,Annual RECO,NN
AU-ASM,7.49711172,Annual RECO,NT
AU-ASM,6.346764773,Annual RECO,DT
AU-ASM,9.639038664,Annual RECO,DML
AU-ASM,28.48396586,Pulse GPP,NT
AU-ASM,27.18561146,Pulse GPP,DT
AU-ASM,6.553123548,Pulse GPP,DML
AU-ASM,12.32599629,Pulse GPP,NN
AU-ASM,7.396268144,Annual GPP,NN
AU-ASM,2.070754459,Annual GPP,NT
AU-ASM,5.725411214,Annual GPP,DT
AU-ASM,11.94675774,Annual GPP,DML
AU-DaP,39.2511901,Pulse RECO,NT
AU-DaP,37.96885655,Pulse RECO,DT
AU-DaP,31.03787597,Pulse RECO,DML
AU-DaP,23.25077308,Pulse RECO,NN
AU-DaP,-0.899730589,Annual RECO,NN
AU-DaP,6.109217958,Annual RECO,NT
AU-DaP,-6.3002965,Annual RECO,DT
AU-DaP,-10.9931065,Annual RECO,DML
AU-DaP,71.28206383,Pulse GPP,NT
AU-DaP,56.5000173,Pulse GPP,DT
AU-DaP,38.52099083,Pulse GPP,DML
AU-DaP,38.82394725,Pulse GPP,NN
AU-DaP,2.470079885,Annual GPP,NN
AU-DaP,3.618286501,Annual GPP,NT
AU-DaP,-2.725905748,Annual GPP,DT
AU-DaP,-2.83238429,Annual GPP,DML
AU-Dry,22.90648036,Pulse RECO,NT
AU-Dry,17.55203486,Pulse RECO,DT
AU-Dry,12.85188329,Pulse RECO,DML
AU-Dry,14.25751168,Pulse RECO,NN
AU-Dry,14.68669457,Annual RECO,NN
AU-Dry,1.537869998,Annual RECO,NT
AU-Dry,-4.955311382,Annual RECO,DT
AU-Dry,-17.65669816,Annual RECO,DML
AU-Dry,24.92539009,Pulse GPP,NT
AU-Dry,8.221186158,Pulse GPP,DT
AU-Dry,11.50308494,Pulse GPP,DML
AU-Dry,16.69509913,Pulse GPP,NN
AU-Dry,10.3901158,Annual GPP,NN
AU-Dry,-0.193001026,Annual GPP,NT
AU-Dry,-1.301292554,Annual GPP,DT
AU-Dry,-4.770506236,Annual GPP,DML
AU-Rig,13.76893459,Pulse RECO,NT
AU-Rig,21.1571512,Pulse RECO,DT
AU-Rig,9.281773385,Pulse RECO,DML
AU-Rig,-2.414937474,Pulse RECO,NN
AU-Rig,-1.093969278,Annual RECO,NN
AU-Rig,2.285682798,Annual RECO,NT
AU-Rig,5.901570033,Annual RECO,DT
AU-Rig,-4.675386055,Annual RECO,DML
AU-Rig,24.51919319,Pulse GPP,NT
AU-Rig,-3.280109754,Pulse GPP,DT
AU-Rig,4.16304598,Pulse GPP,DML
AU-Rig,-7.596556834,Pulse GPP,NN
AU-Rig,2.762998019,Annual GPP,NN
AU-Rig,0.653111822,Annual GPP,NT
AU-Rig,1.00341975,Annual GPP,DT
AU-Rig,1.842212725,Annual GPP,DML
AU-Stp,63.51531373,Pulse RECO,NT
AU-Stp,58.37149189,Pulse RECO,DT
AU-Stp,55.83877604,Pulse RECO,DML
AU-Stp,49.08966968,Pulse RECO,NN
AU-Stp,-3.70922259,Annual RECO,NN
AU-Stp,14.74828099,Annual RECO,NT
AU-Stp,3.258748851,Annual RECO,DT
AU-Stp,-2.813720685,Annual RECO,DML
AU-Stp,94.17016062,Pulse GPP,NT
AU-Stp,81.7755925,Pulse GPP,DT
AU-Stp,75.09261262,Pulse GPP,DML
AU-Stp,70.65366502,Pulse GPP,NN
AU-Stp,0.749111137,Annual GPP,NN
AU-Stp,9.307722152,Annual GPP,NT
AU-Stp,1.027585818,Annual GPP,DT
AU-Stp,2.825342714,Annual GPP,DML
ES-Abr,11.20109788,Pulse RECO,NT
ES-Abr,20.41729296,Pulse RECO,DT
ES-Abr,9.463638967,Pulse RECO,DML
ES-Abr,3.865570898,Pulse RECO,NN
ES-Abr,11.06922835,Annual RECO,NN
ES-Abr,0.727811179,Annual RECO,NT
ES-Abr,6.581490371,Annual RECO,DT
ES-Abr,0.211936687,Annual RECO,DML
ES-Abr,20.87488659,Pulse GPP,NT
ES-Abr,7.492192882,Pulse GPP,DT
ES-Abr,9.303837845,Pulse GPP,DML
ES-Abr,7.221936606,Pulse GPP,NN
ES-Abr,11.04226657,Annual GPP,NN
ES-Abr,0.517437479,Annual GPP,NT
ES-Abr,6.629591308,Annual GPP,DT
ES-Abr,4.243359039,Annual GPP,DML
ES-Agu,45.50255172,Pulse RECO,NT
ES-Agu,48.23292895,Pulse RECO,DT
ES-Agu,44.44151515,Pulse RECO,DML
ES-Agu,39.77794925,Pulse RECO,NN
ES-Agu,-13.80463906,Annual RECO,NN
ES-Agu,6.204673438,Annual RECO,NT
ES-Agu,-19.81665076,Annual RECO,DT
ES-Agu,-2.855075678,Annual RECO,DML
ES-Agu,72.12476274,Pulse GPP,NT
ES-Agu,48.95672864,Pulse GPP,DT
ES-Agu,62.95706454,Pulse GPP,DML
ES-Agu,57.40143153,Pulse GPP,NN
ES-Agu,-2.610246387,Annual GPP,NN
ES-Agu,13.75187641,Annual GPP,NT
ES-Agu,-12.58120444,Annual GPP,DT
ES-Agu,9.852247669,Annual GPP,DML
ES-LM1,2.865506711,Pulse RECO,NT
ES-LM1,16.80463508,Pulse RECO,DT
ES-LM1,-0.911510514,Pulse RECO,DML
ES-LM1,-1.733573205,Pulse RECO,NN
ES-LM1,12.14175028,Annual RECO,NN
ES-LM1,-0.352137616,Annual RECO,NT
ES-LM1,7.664592659,Annual RECO,DT
ES-LM1,-3.222772652,Annual RECO,DML
ES-LM1,9.143810744,Pulse GPP,NT
ES-LM1,6.135835404,Pulse GPP,DT
ES-LM1,-9.673256304,Pulse GPP,DML
ES-LM1,-1.704181125,Pulse GPP,NN
ES-LM1,11.34554056,Annual GPP,NN
ES-LM1,-0.001998876,Annual GPP,NT
ES-LM1,5.908185684,Annual GPP,DT
ES-LM1,0.914764335,Annual GPP,DML
ES-LM2,2.438834143,Pulse RECO,NT
ES-LM2,16.40088819,Pulse RECO,DT
ES-LM2,1.025062862,Pulse RECO,DML
ES-LM2,-0.985386098,Pulse RECO,NN
ES-LM2,12.49892045,Annual RECO,NN
ES-LM2,0.067163079,Annual RECO,NT
ES-LM2,10.60605997,Annual RECO,DT
ES-LM2,1.274345981,Annual RECO,DML
ES-LM2,5.247830447,Pulse GPP,NT
ES-LM2,0.737842986,Pulse GPP,DT
ES-LM2,-4.645934048,Pulse GPP,DML
ES-LM2,-2.695473333,Pulse GPP,NN
ES-LM2,11.79002753,Annual GPP,NN
ES-LM2,-0.055209748,Annual GPP,NT
ES-LM2,7.21841684,Annual GPP,DT
ES-LM2,4.089055683,Annual GPP,DML
US-Cop,50.33923607,Pulse RECO,NT
US-Cop,29.59633663,Pulse RECO,DT
US-Cop,47.91713279,Pulse RECO,DML
US-Cop,19.88132621,Pulse RECO,NN
US-Cop,-15.44450886,Annual RECO,NN
US-Cop,11.06349186,Annual RECO,NT
US-Cop,-12.6957773,Annual RECO,DT
US-Cop,12.32068007,Annual RECO,DML
US-Cop,98.94733653,Pulse GPP,NT
US-Cop,3.815779061,Pulse GPP,DT
US-Cop,70.07071093,Pulse GPP,DML
US-Cop,32.26824787,Pulse GPP,NN
US-Cop,-1.963836337,Annual GPP,NN
US-Cop,5.273503629,Annual GPP,NT
US-Cop,-9.573925737,Annual GPP,DT
US-Cop,14.60210535,Annual GPP,DML
US-Jo1,3.764108367,Pulse RECO,NT
US-Jo1,36.62986909,Pulse RECO,DT
US-Jo1,7.250280577,Pulse RECO,DML
US-Jo1,1.595764001,Pulse RECO,NN
US-Jo1,13.17732013,Annual RECO,NN
US-Jo1,-0.570332725,Annual RECO,NT
US-Jo1,27.94526175,Annual RECO,DT
US-Jo1,7.60666862,Annual RECO,DML
US-Jo1,2.530694531,Pulse GPP,NT
