SITE_ID,Day_index,Max Daily NEE
AU-ASM,1,1.723364167
AU-ASM,2,2.0662025
AU-ASM,3,1.415503857
AU-ASM,4,1.2853704
AU-ASM,5,2.294838571
AU-ASM,6,1.35819195
AU-ASM,7,1.256160061
AU-ASM,8,0.916319125
AU-ASM,9,0.692642702
AU-ASM,10,0.329074526
AU-DaP,1,9.726102222
AU-DaP,2,8.769095758
AU-DaP,3,5.360648696
AU-DaP,4,5.131860455
AU-DaP,5,2.919045825
AU-DaP,6,2.226175
AU-DaP,7,2.209828846
AU-DaP,8,3.067435343
AU-DaP,9,1.190022813
AU-DaP,10,1.144311088
AU-Dry,1,5.047236789
AU-Dry,2,5.983161905
AU-Dry,3,4.618275862
AU-Dry,4,3.25692296
AU-Dry,5,3.068668
AU-Dry,6,2.609920736
AU-Dry,7,0.00735216
AU-Dry,8,0.120328412
AU-Dry,9,-0.49884738
AU-Rig,1,5.622905556
AU-Rig,2,7.31178125
AU-Rig,3,5.257162727
AU-Rig,4,4.900575833
AU-Rig,5,3.449882222
AU-Rig,6,2.2773184
AU-Rig,7,2.599383526
AU-Rig,8,2.745721014
AU-Rig,9,2.110651904
AU-Rig,10,2.218566976
AU-Rig,11,0.552875062
AU-Rig,12,-1.149159604
AU-Rig,13,-0.217523057
AU-Rig,14,-1.0160088
AU-Rig,15,-1.958063485
AU-Stp,1,4.8598675
AU-Stp,2,2.65971
AU-Stp,3,3.358732308
AU-Stp,4,2.936059188
AU-Stp,5,2.570070588
AU-Stp,6,2.051864862
AU-Stp,7,1.8670915
AU-Stp,8,1.2945705
AU-Stp,9,1.634357984
AU-Stp,10,0.636189856
AU-Stp,11,0.412130094
AU-Stp,12,0.337594579
AU-Stp,13,0.089728037
AU-Stp,14,0.278671848
ES-Abr,1,7.042946667
ES-Abr,2,5.237754545
ES-Abr,3,4.579805556
ES-Abr,4,3.965058
ES-Abr,5,2.968333733
ES-Abr,6,2.474411368
ES-Abr,7,2.625784064
ES-Abr,8,0.506935437
ES-Abr,9,0.924121273
ES-Abr,10,2.175076636
ES-Abr,11,1.193070205
ES-Abr,12,0.194553721
ES-Abr,13,-0.5357226
ES-Agu,1,4.603073417
ES-Agu,2,4.24223375
ES-Agu,3,3.405989049
ES-Agu,4,4.033194286
ES-Agu,5,3.577640778
ES-Agu,6,2.260737941
ES-Agu,7,1.89418975
ES-Agu,8,1.114702665
ES-Agu,9,2.0413466
ES-Agu,10,3.313634056
ES-Agu,11,1.547938082
ES-Agu,12,-2.019858491
ES-Agu,13,0.173253106
ES-Agu,14,-1.118109267
ES-LM1,1,10.89044444
ES-LM1,2,7.374222222
ES-LM1,3,5.146333333
ES-LM1,4,5.49665
ES-LM1,5,4.722529412
ES-LM1,6,6.5185
ES-LM1,7,4.206
ES-LM1,8,3.211181818
ES-LM1,9,2.240470588
ES-LM1,10,1.105333333
ES-LM1,11,2.183375
ES-LM1,12,0.7064375
ES-LM1,13,-0.321970588
ES-LM2,1,8.46625
ES-LM2,2,7.335818182
ES-LM2,3,4.730545455
ES-LM2,4,3.997
ES-LM2,5,3.857333333
ES-LM2,6,3.757166667
ES-LM2,7,3.680607143
ES-LM2,8,4.6309
ES-LM2,9,5.150625
ES-LM2,10,2.449
ES-LM2,11,1.01147619
ES-LM2,12,1.388305556
US-Cop,1,1.619600667
US-Cop,2,0.91309225
US-Cop,3,1.041925846
US-Cop,4,0.621045429
US-Cop,5,0.453186313
US-Cop,6,0.255893925
US-Cop,7,0.1362107
US-Cop,8,0.169153211
US-Jo1,1,1.949323421
US-Jo1,2,1.73334
US-Jo1,3,0.962329306
US-Jo1,4,1.879752059
